PROPERTY_TYPE	PROPERTY_VALUE	SEMANTIC_TAG	STUDY	BIOENTITY	ANNOTATOR	ANNOTATION_DATE
ecotype	Columbia	http://www.orpha.net/ORDO/Orphanet_655	E-GEOD-6812	GSE6812GSM157148	Eleanor Williams	01/10/2014 18:35
ecotype	Columbia	http://www.orpha.net/ORDO/Orphanet_648	E-GEOD-7211	GSE7211GSM173448	Eleanor Williams	01/10/2014 18:35
ecotype	Columbia	http://www.orpha.net/ORDO/Orphanet_2704	E-GEOD-7641	GSE7641GSM184908	Eleanor Williams	01/10/2014 18:35
ecotype	Landsberg erecta	http://www.orpha.net/ORDO/Orphanet_534	E-GEOD-5735	GSE5735GSM133814	Eleanor Williams	01/10/2014 18:35
ecotype	Col	http://www.orpha.net/ORDO/Orphanet_2260	E-MEXP-2494	CTLVI-2	Eleanor Williams	01/10/2014 18:36
ecotype	Col-0	http://www.orpha.net/ORDO/Orphanet_2750	E-GEOD-8912	GSE8912GSM225908	Eleanor Williams	01/10/2014 18:36
ecotype	Col-0	http://www.orpha.net/ORDO/Orphanet_2785	E-GEOD-8913	GSE8913GSM225913	Eleanor Williams	01/10/2014 18:36
ecotype	Col-0	http://www.orpha.net/ORDO/Orphanet_672	E-GEOD-8925	GSE8925GSM226316	Eleanor Williams	01/10/2014 18:36
ecotype	Col-0	http://www.orpha.net/ORDO/Orphanet_3222	E-GEOD-8926	GSE8926GSM226324	Eleanor Williams	01/10/2014 18:36
ecotype	Col-0	http://www.orpha.net/ORDO/Orphanet_2670	E-GEOD-8927	GSE8927GSM226331	Eleanor Williams	01/10/2014 18:36
ecotype	Col-0	http://www.orpha.net/ORDO/Orphanet_767	E-GEOD-8975	GSE8975GSM227499 sample	Eleanor Williams	01/10/2014 18:36
ecotype	Col-0	http://www.orpha.net/ORDO/Orphanet_732	E-GEOD-9816	GSE9816GSM247627	Eleanor Williams	01/10/2014 18:36
ecotype	Col-0	http://www.orpha.net/ORDO/Orphanet_3337	E-MEXP-1703	col 3G_2	Eleanor Williams	01/10/2014 18:36
ecotype	Col-0	http://www.orpha.net/ORDO/Orphanet_416	E-MEXP-2144	Unwounded-C1	Eleanor Williams	01/10/2014 18:36
ecotype	Col-0	http://www.orpha.net/ORDO/Orphanet_30924	E-MEXP-2229	XW119 0hr-3	Eleanor Williams	01/10/2014 18:36
ecotype	Col-0	http://www.orpha.net/ORDO/Orphanet_47159	E-MEXP-2240	MH0103	Eleanor Williams	01/10/2014 18:36
ecotype	Col-0	http://www.orpha.net/ORDO/Orphanet_2970	E-MEXP-2378	srk2cf-ABA1h-2	Eleanor Williams	01/10/2014 18:36
ecotype	Col-0	http://www.orpha.net/ORDO/Orphanet_756	E-MEXP-2792	Col-0-2	Eleanor Williams	01/10/2014 18:36
ecotype	Col-0	http://www.orpha.net/ORDO/Orphanet_757	E-MEXP-2965	myb96ox C	Eleanor Williams	01/10/2014 18:36
ecotype	Col-0	http://www.orpha.net/ORDO/Orphanet_728	E-MEXP-3397	DEX_2	Eleanor Williams	01/10/2014 18:36
ecotype	Columbia	http://www.orpha.net/ORDO/Orphanet_1848	E-GEOD-9148	GSE9148GSM231203	Eleanor Williams	01/10/2014 18:36
ecotype	Columbia	http://www.orpha.net/ORDO/Orphanet_1475	E-MEXP-2140	pkr2_pkl_a	Eleanor Williams	01/10/2014 18:36
ecotype	Columbia	http://www.orpha.net/ORDO/Orphanet_93101	E-MEXP-2714	0G_EBR_3	Eleanor Williams	01/10/2014 18:36
ecotype	Columbia	http://www.orpha.net/ORDO/Orphanet_71273	E-MEXP-2927	Col-3	Eleanor Williams	01/10/2014 18:36
ecotype	Columbia	http://www.orpha.net/ORDO/Orphanet_3033	E-MEXP-3181	Mutant Replicate 3	Eleanor Williams	01/10/2014 18:36
ecotype	Columbia-0	http://www.orpha.net/ORDO/Orphanet_779	E-MEXP-1262	ahk234-1	Eleanor Williams	01/10/2014 18:36
ecotype	Columbia-0	http://www.orpha.net/ORDO/Orphanet_783	E-MEXP-1578	WT2	Eleanor Williams	01/10/2014 18:36
ecotype	Columbia-0	http://www.orpha.net/ORDO/Orphanet_797	E-MEXP-1743	WT prof 1	Eleanor Williams	01/10/2014 18:36
ecotype	Columbia-0	http://www.orpha.net/ORDO/Orphanet_1830	E-MEXP-2178	Col0-2	Eleanor Williams	01/10/2014 18:36
ecotype	Columbia-0	http://www.orpha.net/ORDO/Orphanet_798	E-MEXP-2377	Col-dry1h-1	Eleanor Williams	01/10/2014 18:36
ecotype	Columbia-0	http://www.orpha.net/ORDO/Orphanet_3156	E-MEXP-254	Arabidopsis thaliana	Eleanor Williams	01/10/2014 18:36
ecotype	Columbia-0	http://www.orpha.net/ORDO/Orphanet_373	E-MEXP-342	Arabidopsis thaliana	Eleanor Williams	01/10/2014 18:36
ecotype	Landsberg erecta	http://www.orpha.net/ORDO/Orphanet_818	E-GEOD-8739	GSE8739GSM216893	Eleanor Williams	01/10/2014 18:36
ecotype	Col-0	http://www.orpha.net/ORDO/Orphanet_3287	E-MEXP-475	Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:181025	Eleanor Williams	01/10/2014 18:37
ecotype	Col-0	http://www.orpha.net/ORDO/Orphanet_54057	E-MTAB-2870	WT2	Eleanor Williams	01/10/2014 18:37
ecotype	Wassilewskija	http://www.orpha.net/ORDO/Orphanet_3327	E-MEXP-502	hyb1274	Eleanor Williams	01/10/2014 18:37
ecotype	Columbia	http://www.orpha.net/ORDO/Orphanet_857	E-TABM-1006	mz_141205_mz_Col_X	Eleanor Williams	01/10/2014 18:38
ecotype	Columbia-0	http://www.orpha.net/ORDO/Orphanet_3378	E-MTAB-403	HS_HL30b_totalRNA_02_ATH1_08152006	Eleanor Williams	01/10/2014 18:38
ecotype	Columbia-0	http://www.orpha.net/ORDO/Orphanet_3380	E-TABM-21	CHIP_327_B	Eleanor Williams	01/10/2014 18:38
ecotype	Coimbra	http://www.orpha.net/ORDO/Orphanet_805	E-TABM-52	CoiA-3_sample	Eleanor Williams	01/10/2014 18:39
ecotype	Col-0	http://www.orpha.net/ORDO/Orphanet_881	E-TABM-51	Col-0 3	Eleanor Williams	01/10/2014 18:39
ecotype	Col-0	http://www.orpha.net/ORDO/Orphanet_887	E-TABM-919	Leaf_Tzero_a	Eleanor Williams	01/10/2014 18:39
ecotype	Columbia-0	http://www.orpha.net/ORDO/Orphanet_28	E-TABM-52	ColN-3_sample	Eleanor Williams	01/10/2014 18:39
ecotype	Landsberg erecta	http://www.orpha.net/ORDO/Orphanet_27	E-TABM-52	LerA-3_sample	Eleanor Williams	01/10/2014 18:39
ecotype	Wassilewskija	http://www.orpha.net/ORDO/Orphanet_892	E-TABM-729	Arabidopsis thaliana hermaphrodite germinating embryo Wassilewskija 3	Eleanor Williams	01/10/2014 18:39
ethnic group	African American	http://www.orpha.net/ORDO/Orphanet_893	E-GEOD-12667	GSE12667GSM318088	Eleanor Williams	01/10/2014 18:32
ethnic group	White	http://www.orpha.net/ORDO/Orphanet_1018	E-GEOD-12667	GSE12667GSM318114	Eleanor Williams	01/10/2014 18:32
ethnic group	African American	http://www.orpha.net/ORDO/Orphanet_68341	E-MTAB-513	HCT20150	Eleanor Williams	01/10/2014 18:39
ethnic group	Caucasian	http://purl.org/ejp-rd/vocabulary/Person	E-MTAB-513	HCT20159	Eleanor Williams	01/10/2014 18:39
genetic modification	gene_knock_out	http://purl.org/ejp-rd/vocabulary/Organization	E-ATMX-6	Myb28KO-1	Eleanor Williams	01/10/2014 18:32
genetic modification	none	http://www.ebi.ac.uk/efo/EFO_0000408	E-GEOD-12854	GSE12854GSM322535	Eleanor Williams	01/10/2014 18:32
genetic modification	transfection	http://edamontology.org/data_3103	E-GEOD-10233	GSE10233GSM257617	Eleanor Williams	01/10/2014 18:32
genetic modification	transfection	http://edamontology.org/topic_3382	E-GEOD-10591	GSE10591GSM267010	Eleanor Williams	01/10/2014 18:32
genetic modification	transfection	http://purl.obolibrary.org/obo/HP_0003745	E-GEOD-10821	GSE10821GSM272994	Eleanor Williams	01/10/2014 18:32
genetic modification	transfection	http://purl.obolibrary.org/obo/NCIT_C100128|http://purl.obolibrary.org/obo/NCIT_C62649|http://purl.obolibrary.org/obo/NCIT_C71588|http://purl.obolibrary.org/obo/NCIT_C71587	E-GEOD-12854	GSE12854GSM322541	Eleanor Williams	01/10/2014 18:32
genetic modification	gene_knock_out	http://purl.obolibrary.org/obo/NCIT_C150737	E-GEOD-2515	GSE2515GSM48041	Eleanor Williams	01/10/2014 18:33
genetic modification	gene_knock_out	http://purl.obolibrary.org/obo/NCIT_C16576	E-GEOD-2926	GSE2926GSM63853	Eleanor Williams	01/10/2014 18:34
genetic modification	control vector	http://purl.obolibrary.org/obo/NCIT_C16696	E-GEOD-8023	GSE8023GSM198052	Eleanor Williams	01/10/2014 18:35
genetic modification	gene knock out	http://purl.obolibrary.org/obo/NCIT_C17248	E-GEOD-6623	GSE6623GSM153712	Eleanor Williams	01/10/2014 18:35
genetic modification	gene knock out	http://purl.obolibrary.org/obo/NCIT_C18086	E-GEOD-7196	GSE7196GSM173009	Eleanor Williams	01/10/2014 18:35
genetic modification	gene knock out	http://purl.obolibrary.org/obo/NCIT_C19177	E-GEOD-7333	GSE7333GSM176761	Eleanor Williams	01/10/2014 18:35
genetic modification	gene knock out	http://purl.obolibrary.org/obo/NCIT_C20108	E-GEOD-7342	GSE7342GSM177037	Eleanor Williams	01/10/2014 18:35
genetic modification	gene_knock_out	http://purl.obolibrary.org/obo/NCIT_C20197|http://purl.obolibrary.org/obo/NCIT_C16576	E-GEOD-5583	GSE5583GSM130368	Eleanor Williams	01/10/2014 18:35
genetic modification	gene_knock_out	http://purl.obolibrary.org/obo/NCIT_C25162	E-GEOD-7381	GSE7381GSM177548	Eleanor Williams	01/10/2014 18:35
genetic modification	none	http://purl.obolibrary.org/obo/NCIT_C25174	E-GEOD-7196	GSE7196GSM173007	Eleanor Williams	01/10/2014 18:35
genetic modification	none	http://purl.obolibrary.org/obo/NCIT_C25289	E-GEOD-7342	GSE7342GSM177040	Eleanor Williams	01/10/2014 18:35
genetic modification	none	http://purl.obolibrary.org/obo/NCIT_C25365	E-GEOD-7381	GSE7381GSM177486	Eleanor Williams	01/10/2014 18:35
genetic modification	gene knock out	http://purl.obolibrary.org/obo/NCIT_C25458	E-MEXP-1040	KO1	Eleanor Williams	01/10/2014 18:36
genetic modification	gene knock out	http://purl.obolibrary.org/obo/NCIT_C25464	E-MEXP-1240	SAMPLE202458SUB3694	Eleanor Williams	01/10/2014 18:36
genetic modification	gene knock out	http://purl.obolibrary.org/obo/NCIT_C25680	E-MEXP-1325	mir155-1	Eleanor Williams	01/10/2014 18:36
genetic modification	gene knock out	http://purl.obolibrary.org/obo/NCIT_C25741	E-MEXP-1371	BMM_ko-rep2	Eleanor Williams	01/10/2014 18:36
genetic modification	gene knock out	http://purl.obolibrary.org/obo/NCIT_C28226	E-MEXP-1729	Hnf4a-pKO-Hnf1aHET2	Eleanor Williams	01/10/2014 18:36
genetic modification	gene knock out	http://purl.obolibrary.org/obo/NCIT_C28248	E-MEXP-1733	Hnf4aKO1	Eleanor Williams	01/10/2014 18:36
genetic modification	gene knock out	http://purl.obolibrary.org/obo/NCIT_C29846	E-MEXP-1783	knock out-1	Eleanor Williams	01/10/2014 18:36
genetic modification	gene knock out	http://purl.obolibrary.org/obo/NCIT_C40978	E-MEXP-1787	ccr1-1 A	Eleanor Williams	01/10/2014 18:36
genetic modification	gene knock out	http://purl.obolibrary.org/obo/NCIT_C42775	E-MEXP-1979	HET2	Eleanor Williams	01/10/2014 18:36
genetic modification	gene knock out	http://purl.obolibrary.org/obo/NCIT_C49487	E-MEXP-2011	Null Nurf301-1	Eleanor Williams	01/10/2014 18:36
genetic modification	gene knock out	http://purl.obolibrary.org/obo/NCIT_C71398	E-MEXP-2089	KLF10 knockout 1	Eleanor Williams	01/10/2014 18:36
genetic modification	gene knock out	http://purl.obolibrary.org/obo/NCIT_C71399	E-MEXP-2178	ndufa1-1	Eleanor Williams	01/10/2014 18:36
genetic modification	gene knock out	http://purl.obolibrary.org/obo/NCIT_C71408	E-MEXP-2332	HET2	Eleanor Williams	01/10/2014 18:36
genetic modification	gene knock out	http://purl.obolibrary.org/obo/NCIT_C71409	E-MEXP-2377	srk2cf-cont1	Eleanor Williams	01/10/2014 18:36
genetic modification	gene knock out	http://purl.obolibrary.org/obo/NCIT_C76325	E-MEXP-2792	Atwrky12-1-2	Eleanor Williams	01/10/2014 18:36
genetic modification	gene_knock_out	http://purl.obolibrary.org/obo/NCIT_C78343	E-MEXP-1707	512KO	Eleanor Williams	01/10/2014 18:36
genetic modification	gene_knock_out	http://purl.obolibrary.org/obo/NCIT_C93495	E-MEXP-1262	ahk234-1	Eleanor Williams	01/10/2014 18:36
genetic modification	gene_knock_out	http://purl.obolibrary.org/obo/NCIT_C96576	E-MEXP-1431	M2-MUT5	Eleanor Williams	01/10/2014 18:36
genetic modification	gene_knock_out	http://purl.obolibrary.org/obo/NCIT_C96582	E-MEXP-1503	Ercc1-D5	Eleanor Williams	01/10/2014 18:36
genetic modification	gene_knock_out	http://purl.obolibrary.org/obo/OMIABIS_0000000	E-MEXP-1817	E1_8-1-08_s1.CEL	Eleanor Williams	01/10/2014 18:36
genetic modification	gene_knock_out	http://purl.obolibrary.org/obo/OMIT_0012253	E-MEXP-1968	Xpa 0.6J_1	Eleanor Williams	01/10/2014 18:36
genetic modification	gene_knock_out	http://semanticscience.org/resource/SIO_000035	E-MEXP-27	Saccharomyces cerevisiae__S:BioSource:166395	Eleanor Williams	01/10/2014 18:36
genetic modification	induced mutation	http://www.ebi.ac.uk/efo/EFO_0003917	E-MEXP-1208	FRT_E333st_1	Eleanor Williams	01/10/2014 18:36
genetic modification	induced mutation	http://www.ebi.ac.uk/efo/EFO_0004918	E-MEXP-1784	hfr1	Eleanor Williams	01/10/2014 18:36
genetic modification	induced mutation	http://www.orpha.net/ORDO/Orphanet_409943	E-MEXP-3181	Mutant Replicate 3	Eleanor Williams	01/10/2014 18:36
genetic modification	knock out	http://www.orpha.net/ORDO/Orphanet_498467	E-MEXP-2378	srk2cf-ABA1h-2	Eleanor Williams	01/10/2014 18:36
genetic modification	none	http://www.orpha.net/ORDO/Orphanet_498464	E-MEXP-1040	WT2	Eleanor Williams	01/10/2014 18:36
genetic modification	none	http://www.orpha.net/ORDO/Orphanet_464343	E-MEXP-1099	wt_repl5	Eleanor Williams	01/10/2014 18:36
genetic modification	none	http://www.orpha.net/ORDO/Orphanet_435554	E-MEXP-1240	SAMPLE202456SUB3694	Eleanor Williams	01/10/2014 18:36
genetic modification	none	http://www.orpha.net/ORDO/Orphanet_431272	E-MEXP-1262	Col-0-2	Eleanor Williams	01/10/2014 18:36
genetic modification	none	http://www.orpha.net/ORDO/Orphanet_404560	E-MEXP-1371	BMM_wt-rep1	Eleanor Williams	01/10/2014 18:36
genetic modification	none	http://www.orpha.net/ORDO/Orphanet_399293	E-MEXP-1431	M2-C1	Eleanor Williams	01/10/2014 18:36
genetic modification	none	http://www.orpha.net/ORDO/Orphanet_397587	E-MEXP-1503	wt6	Eleanor Williams	01/10/2014 18:36
genetic modification	none	http://www.orpha.net/ORDO/Orphanet_370953	E-MEXP-1729	WT2	Eleanor Williams	01/10/2014 18:36
genetic modification	none	http://www.orpha.net/ORDO/Orphanet_369955	E-MEXP-1733	WT2	Eleanor Williams	01/10/2014 18:36
genetic modification	none	http://www.orpha.net/ORDO/Orphanet_352649	E-MEXP-1783	wild type-1	Eleanor Williams	01/10/2014 18:36
genetic modification	none	http://www.orpha.net/ORDO/Orphanet_329931	E-MEXP-1784	col-0	Eleanor Williams	01/10/2014 18:36
genetic modification	none	http://www.orpha.net/ORDO/Orphanet_325351	E-MEXP-1787	Col C	Eleanor Williams	01/10/2014 18:36
genetic modification	none	http://www.orpha.net/ORDO/Orphanet_319651	E-MEXP-1968	Wt 0.6J_2	Eleanor Williams	01/10/2014 18:36
genetic modification	none	http://www.orpha.net/ORDO/Orphanet_319487	E-MEXP-1979	WT2	Eleanor Williams	01/10/2014 18:36
genetic modification	none	http://www.orpha.net/ORDO/Orphanet_319462	E-MEXP-2011	Wildtype-1	Eleanor Williams	01/10/2014 18:36
genetic modification	none	http://www.orpha.net/ORDO/Orphanet_319328	E-MEXP-2089	Wild type 3	Eleanor Williams	01/10/2014 18:36
genetic modification	none	http://www.orpha.net/ORDO/Orphanet_314022	E-MEXP-2178	Col0-2	Eleanor Williams	01/10/2014 18:36
genetic modification	none	http://www.orpha.net/ORDO/Orphanet_313846	E-MEXP-2332	WT2	Eleanor Williams	01/10/2014 18:36
genetic modification	none	http://www.orpha.net/ORDO/Orphanet_309830	E-MEXP-2730	Senia-3	Eleanor Williams	01/10/2014 18:36
genetic modification	none	http://www.orpha.net/ORDO/Orphanet_309830	E-MEXP-2792	Col-0-2	Eleanor Williams	01/10/2014 18:36
genetic modification	none	http://www.orpha.net/ORDO/Orphanet_309819	E-MEXP-27	Saccharomyces cerevisiae__S:BioSource:166402	Eleanor Williams	01/10/2014 18:36
genetic modification	none	http://www.orpha.net/ORDO/Orphanet_309337	E-MEXP-3181	Wild Type Replicate 3	Eleanor Williams	01/10/2014 18:36
genetic modification	transfection	http://www.orpha.net/ORDO/Orphanet_309120	E-MEXP-1235	PCSK9_vector_3	Eleanor Williams	01/10/2014 18:36
genetic modification	transfection	http://www.orpha.net/ORDO/Orphanet_306498	E-MEXP-1482	miR-02	Eleanor Williams	01/10/2014 18:36
genetic modification	gene knock in	http://www.orpha.net/ORDO/Orphanet_300912	E-MEXP-923	224	Eleanor Williams	01/10/2014 18:37
genetic modification	gene knock in	http://www.orpha.net/ORDO/Orphanet_300846	E-MEXP-793	BMI1-c1	Eleanor Williams	01/10/2014 18:37
genetic modification	gene knock in	http://www.orpha.net/ORDO/Orphanet_294942	E-MEXP-939	tg-3	Eleanor Williams	01/10/2014 18:37
genetic modification	gene knock out	http://www.orpha.net/ORDO/Orphanet_294939	E-MEXP-2992	SDH 1	Eleanor Williams	01/10/2014 18:37
genetic modification	gene knock out	http://www.orpha.net/ORDO/Orphanet_293181	E-MEXP-3442	Taf10_3	Eleanor Williams	01/10/2014 18:37
genetic modification	gene knock out	http://www.orpha.net/ORDO/Orphanet_293173	E-MEXP-3478	ko_4	Eleanor Williams	01/10/2014 18:37
genetic modification	gene knock out	http://www.orpha.net/ORDO/Orphanet_289899	E-MEXP-3623	Rag_1	Eleanor Williams	01/10/2014 18:37
genetic modification	gene knock out	http://www.orpha.net/ORDO/Orphanet_289891	E-MEXP-634	gata3-2	Eleanor Williams	01/10/2014 18:37
genetic modification	gene knock out	http://www.orpha.net/ORDO/Orphanet_289290	E-MEXP-731	SAMPLE188149SUB2506	Eleanor Williams	01/10/2014 18:37
genetic modification	gene knock out	http://www.orpha.net/ORDO/Orphanet_284426	E-MEXP-755	mice 1-KO	Eleanor Williams	01/10/2014 18:37
genetic modification	gene knock out	http://www.orpha.net/ORDO/Orphanet_281217	E-MEXP-834	ERCC1-1	Eleanor Williams	01/10/2014 18:37
genetic modification	gene knock out	http://www.orpha.net/ORDO/Orphanet_281097	E-MEXP-886	Ataxin1KO-1751	Eleanor Williams	01/10/2014 18:37
genetic modification	gene knock out	http://www.orpha.net/ORDO/Orphanet_280342	E-MEXP-891	CHODOSH_AKT1_KO2	Eleanor Williams	01/10/2014 18:37
genetic modification	gene knock out	http://www.orpha.net/ORDO/Orphanet_280342	E-MTAB-2727	Sample 16	Eleanor Williams	01/10/2014 18:37
genetic modification	gene_knock_out	http://www.orpha.net/ORDO/Orphanet_280183	E-MEXP-438	Mus musculus__ebi.ac.uk:MIAMExpress:BioSource:181415	Eleanor Williams	01/10/2014 18:37
genetic modification	gene_knock_out	http://www.orpha.net/ORDO/Orphanet_280062	E-MEXP-502	hyb1272	Eleanor Williams	01/10/2014 18:37
genetic modification	gene_knock_out	http://www.orpha.net/ORDO/Orphanet_276152	E-MEXP-835	xpa3	Eleanor Williams	01/10/2014 18:37
genetic modification	gene_knock_out	http://www.orpha.net/ORDO/Orphanet_275752	E-MEXP-856	WK2005030421	Eleanor Williams	01/10/2014 18:37
genetic modification	knock out	http://www.orpha.net/ORDO/Orphanet_275729	E-MEXP-3714	ahk2ahk3 -cold 3set	Eleanor Williams	01/10/2014 18:37
genetic modification	none	http://www.orpha.net/ORDO/Orphanet_268114	E-MEXP-923	222	Eleanor Williams	01/10/2014 18:37
genetic modification	none	http://www.orpha.net/ORDO/Orphanet_264955	E-MEXP-2992	WS 2	Eleanor Williams	01/10/2014 18:37
genetic modification	none	http://www.orpha.net/ORDO/Orphanet_264750	E-MEXP-3442	wt_1	Eleanor Williams	01/10/2014 18:37
genetic modification	none	http://www.orpha.net/ORDO/Orphanet_264735	E-MEXP-3478	wt_4	Eleanor Williams	01/10/2014 18:37
genetic modification	none	http://www.orpha.net/ORDO/Orphanet_264724	E-MEXP-3623	B6_1	Eleanor Williams	01/10/2014 18:37
genetic modification	none	http://www.orpha.net/ORDO/Orphanet_264675	E-MEXP-3714	Col-0 cold 2set	Eleanor Williams	01/10/2014 18:37
genetic modification	none	http://www.orpha.net/ORDO/Orphanet_263440	E-MEXP-502	hyb1274	Eleanor Williams	01/10/2014 18:37
genetic modification	none	http://www.orpha.net/ORDO/Orphanet_252190	E-MEXP-558	StriaWT3	Eleanor Williams	01/10/2014 18:37
genetic modification	none	http://www.orpha.net/ORDO/Orphanet_251636	E-MEXP-563	MSC1	Eleanor Williams	01/10/2014 18:37
genetic modification	none	http://www.orpha.net/ORDO/Orphanet_251630	E-MEXP-634	WT2	Eleanor Williams	01/10/2014 18:37
genetic modification	none	http://www.orpha.net/ORDO/Orphanet_248361	E-MEXP-731	SAMPLE188144SUB2506	Eleanor Williams	01/10/2014 18:37
genetic modification	none	http://www.orpha.net/ORDO/Orphanet_248315	E-MEXP-755	mice 2-control	Eleanor Williams	01/10/2014 18:37
genetic modification	none	http://www.orpha.net/ORDO/Orphanet_248308	E-MEXP-793	Mock-b1	Eleanor Williams	01/10/2014 18:37
genetic modification	none	http://www.orpha.net/ORDO/Orphanet_248111	E-MEXP-834	WT2	Eleanor Williams	01/10/2014 18:37
genetic modification	none	http://www.orpha.net/ORDO/Orphanet_247798	E-MEXP-835	wt2	Eleanor Williams	01/10/2014 18:37
genetic modification	none	http://www.orpha.net/ORDO/Orphanet_247709	E-MEXP-886	Ataxin1WT-1869	Eleanor Williams	01/10/2014 18:37
genetic modification	none	http://www.orpha.net/ORDO/Orphanet_247698	E-MEXP-939	wt2	Eleanor Williams	01/10/2014 18:37
genetic modification	none	http://www.orpha.net/ORDO/Orphanet_247525	E-MTAB-1131	ET_MC2-2	Eleanor Williams	01/10/2014 18:37
genetic modification	none	http://www.orpha.net/ORDO/Orphanet_247353	E-MTAB-2727	Sample 4	Eleanor Williams	01/10/2014 18:37
genetic modification	none	http://www.orpha.net/ORDO/Orphanet_247234	E-MTAB-2870	WT2	Eleanor Williams	01/10/2014 18:37
genetic modification	transfection	http://www.orpha.net/ORDO/Orphanet_238666	E-MEXP-548	IMP_1-3_B_b	Eleanor Williams	01/10/2014 18:37
genetic modification	transfection	http://www.orpha.net/ORDO/Orphanet_238583	E-MEXP-879	stage 11 arm-Scr1	Eleanor Williams	01/10/2014 18:37
genetic modification	transgenic	http://www.orpha.net/ORDO/Orphanet_238455	E-MTAB-2870	OX3	Eleanor Williams	01/10/2014 18:37
genetic modification	gene_knock_out	http://www.orpha.net/ORDO/Orphanet_231214	E-TABM-102	ATF3 -/- LPS 0 hr Mouse 1	Eleanor Williams	01/10/2014 18:38
genetic modification	none	http://www.orpha.net/ORDO/Orphanet_228145	E-TABM-297	Lbe_wt_1	Eleanor Williams	01/10/2014 18:38
genetic modification	none	http://www.orpha.net/ORDO/Orphanet_227796	E-TABM-566	Ler_rep2	Eleanor Williams	01/10/2014 18:38
genetic modification	gene knock in	http://www.orpha.net/ORDO/Orphanet_227535	E-TABM-695	LL Mouse 2	Eleanor Williams	01/10/2014 18:39
genetic modification	gene knock out	http://www.orpha.net/ORDO/Orphanet_223727	E-TABM-275	Mus musculus male embryo 12	Eleanor Williams	01/10/2014 18:39
genetic modification	gene knock out	http://www.orpha.net/ORDO/Orphanet_220497	E-TABM-448	H1451_biorep1	Eleanor Williams	01/10/2014 18:39
genetic modification	gene_knock_out	http://www.orpha.net/ORDO/Orphanet_220489	E-TABM-426	Mus musculus male juvenile mixed genetic background 6	Eleanor Williams	01/10/2014 18:39
genetic modification	none	http://www.orpha.net/ORDO/Orphanet_218436	E-TABM-448	BY4742_biorep3	Eleanor Williams	01/10/2014 18:39
genetic modification	none	http://www.orpha.net/ORDO/Orphanet_217613	E-TABM-695	WT Mouse 1	Eleanor Williams	01/10/2014 18:39
germplasm	Col-0	http://www.orpha.net/ORDO/Orphanet_217454	E-ATMX-20	Zat10-OE-1	Eleanor Williams	01/10/2014 18:32
germplasm	Col-0	http://www.orpha.net/ORDO/Orphanet_217382	E-GEOD-14229	GSE14229GSM356567	Eleanor Williams	01/10/2014 18:32
germplasm	Ws-2	http://www.orpha.net/ORDO/Orphanet_213524	E-GEOD-13930	GSE13930GSM350867	Eleanor Williams	01/10/2014 18:32
germplasm	Col-0	http://www.orpha.net/ORDO/Orphanet_213517	E-GEOD-19252	GSM477810 1	Eleanor Williams	01/10/2014 18:33
germplasm	Col-0	http://www.orpha.net/ORDO/Orphanet_213500	E-GEOD-20222	GSM507026 1	Eleanor Williams	01/10/2014 18:33
germplasm	Columbia-0	http://www.orpha.net/ORDO/Orphanet_211237	E-GEOD-25396	GSM830737 1	Eleanor Williams	01/10/2014 18:33
germplasm	Col-0	http://www.orpha.net/ORDO/Orphanet_209886	E-GEOD-31033	GSM768916 1	Eleanor Williams	01/10/2014 18:34
germplasm	Col-0	http://www.orpha.net/ORDO/Orphanet_209188	E-GEOD-6827	GSE6827GSM157346	Eleanor Williams	01/10/2014 18:35
germplasm	Wassilewskija	http://www.orpha.net/ORDO/Orphanet_209053	E-GEOD-6161	GSE6161GSM142730	Eleanor Williams	01/10/2014 18:35
germplasm	Ws-2	http://www.orpha.net/ORDO/Orphanet_207119	E-GEOD-5737	GSE5737GSM133828	Eleanor Williams	01/10/2014 18:35
germplasm	Col-0	http://www.orpha.net/ORDO/Orphanet_207090	E-MEXP-1784	hfr1	Eleanor Williams	01/10/2014 18:36
germplasm	Landsberg erecta	http://www.orpha.net/ORDO/Orphanet_207085	E-TABM-1007	caquinof_20080327_fis2_2-v4	Eleanor Williams	01/10/2014 18:38
germplasm	Landsberg erecta	http://www.orpha.net/ORDO/Orphanet_207052	E-TABM-566	ron1-1_rep3	Eleanor Williams	01/10/2014 18:38
gestational age	17.5	http://www.orpha.net/ORDO/Orphanet_206976	E-GEOD-2812	GSE2812GSM60895	Eleanor Williams	01/10/2014 18:34
growth condition	control	http://www.orpha.net/ORDO/Orphanet_206973	E-GEOD-10670	WT leaf-well watered-rep3	Eleanor Williams	01/10/2014 18:32
growth condition	control	http://www.orpha.net/ORDO/Orphanet_206966	E-GEOD-11538	GSM290627	Eleanor Williams	01/10/2014 18:32
growth condition	control	http://www.orpha.net/ORDO/Orphanet_206647	E-GEOD-12773	"Sample 3 control MDDC, day 5"	Eleanor Williams	01/10/2014 18:32
growth condition	control	http://www.orpha.net/ORDO/Orphanet_183651	E-GEOD-13309	Calu-6 0 Bio replicate 1	Eleanor Williams	01/10/2014 18:32
growth condition	control	http://www.orpha.net/ORDO/Orphanet_183625	E-GEOD-1491	Negative Control - 2	Eleanor Williams	01/10/2014 18:32
